"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2008","3,466.20","3,597.71","3,597.71","3,434.76","1.88B","-4.27%"
"02/21/2008","3,620.85","3,653.81","3,663.16","3,576.04","1.57B","-1.51%"
"02/20/2008","3,676.47","3,792.30","3,805.39","3,670.85","1.90B","-2.92%"
"02/19/2008","3,787.03","3,722.94","3,787.22","3,687.69","1.70B","2.10%"
"02/18/2008","3,709.07","3,694.67","3,739.09","3,661.42","1.41B","1.72%"
"02/15/2008","3,646.18","3,673.90","3,675.44","3,593.17","1.25B","-1.64%"
"02/14/2008","3,706.97","3,699.30","3,737.76","3,683.43","941.00M","1.28%"
"02/13/2008","3,660.16","3,697.53","3,712.67","3,649.24","1.10B","-2.81%"
"02/05/2008","3,766.16","3,783.80","3,817.61","3,730.27","1.69B","-0.79%"
"02/04/2008","3,796.13","3,598.50","3,798.05","3,598.50","2.25B","8.46%"
"02/01/2008","3,500.05","3,502.22","3,549.33","3,376.61","1.71B","0.06%"
"01/31/2008","3,497.92","3,528.87","3,571.00","3,485.26","1.55B","-1.22%"
"01/30/2008","3,541.08","3,653.73","3,674.37","3,459.87","1.68B","-1.96%"
"01/29/2008","3,611.98","3,609.11","3,685.49","3,554.52","1.32B","0.41%"
"01/28/2008","3,597.26","3,830.97","3,830.97","3,589.80","1.90B","-7.18%"
"01/25/2008","3,875.58","3,814.98","3,913.74","3,751.96","2.03B","1.50%"
"01/24/2008","3,818.33","3,876.36","3,884.06","3,750.15","2.59B","-0.12%"
"01/23/2008","3,822.82","3,712.85","3,824.52","3,669.38","2.58B","3.91%"
"01/22/2008","3,679.01","3,880.41","3,891.26","3,636.47","2.90B","-7.46%"
"01/21/2008","3,975.71","4,203.51","4,212.01","3,960.43","2.04B","-5.25%"
"01/18/2008","4,195.95","4,170.01","4,213.71","4,128.22","1.86B","0.41%"
"01/17/2008","4,178.71","4,219.70","4,289.93","4,072.68","2.78B","-2.23%"
"01/16/2008","4,274.02","4,395.37","4,395.37","4,267.01","2.44B","-3.76%"
"01/15/2008","4,440.82","4,511.16","4,515.82","4,421.67","2.20B","-1.30%"
"01/14/2008","4,499.14","4,503.68","4,524.29","4,471.74","2.15B","0.39%"
"01/11/2008","4,481.49","4,445.23","4,482.57","4,417.05","2.97B","1.13%"
"01/10/2008","4,431.46","4,420.32","4,456.10","4,384.45","2.97B","0.58%"
"01/09/2008","4,405.92","4,341.53","4,407.39","4,324.91","2.03B","1.10%"
"01/08/2008","4,358.10","4,349.48","4,437.57","4,322.13","3.08B","0.64%"
"01/07/2008","4,330.27","4,279.92","4,341.47","4,255.50","2.44B","1.11%"
"01/04/2008","4,282.69","4,231.35","4,296.02","4,221.65","2.34B","1.24%"
"01/03/2008","4,230.42","4,213.02","4,232.18","4,123.12","3.07B","0.25%"
"01/02/2008","4,219.69","4,230.81","4,242.19","4,164.76","1.87B","-0.17%"
